Sampling Statistics Report
==============================



Generated Samples:
Chain | Step
0 | 24  3.5945  -3.2061  -1.1899  -0.3732  2.3244  -0.1200  -1.7891  7.2983  -0.8002  2.9049
0 | 25  -4.1663  5.5261  4.7799  1.2246  2.0636  -1.6776  3.3757  -1.3588  1.1322  -1.2129
0 | 26  2.0921  -2.9531  0.2500  0.4295  -2.0290  1.0984  0.2663  -2.5748  1.1053  -1.4878
0 | 27  2.7995  -0.3677  0.8450  1.9116  -0.1933  -2.5135  -0.9798  4.0438  3.3292  -0.1329
0 | 28  -0.2163  -3.2002  -4.6896  3.1911  -0.0003  0.1925  -3.7021  0.6583  -2.0477  2.8757
0 | 29  -3.1895  7.9693  4.6082  -3.4044  1.9048  -1.6210  1.1034  -2.4158  1.9150  -1.4915
0 | 30  2.2110  -5.7073  -3.9409  -1.2782  -0.4513  1.1023  2.1135  4.7477  -3.4293  1.4076
0 | 31  -0.4854  -4.6695  -2.7616  0.5102  -2.9034  4.2112  -1.0773  -2.3503  -2.4209  -1.2597
0 | 32  1.6676  -3.3356  1.9038  0.6408  -3.2217  3.3014  -0.3282  1.3417  -0.8820  -1.9058
0 | 33  1.9464  1.3587  -0.9681  -3.0584  -2.6661  -0.4324  0.5671  -4.6036  1.7161  -1.6832
0 | 34  -1.1268  -0.4346  -0.8146  -2.1467  3.2878  1.0463  0.1064  3.3387  -4.4064  0.2390
0 | 35  1.9141  3.0144  2.8228  -5.5878  3.3989  -2.4589  0.1125  0.8332  3.2690  -1.0273
0 | 36  0.3764  2.7501  2.5964  -5.2885  4.1785  0.5468  -0.2449  4.8488  -1.7530  -0.0358
0 | 37  2.1032  0.3092  0.2767  -4.4768  -1.4441  1.5089  1.4578  -1.1267  0.2677  -2.7094
0 | 38  -1.0702  -2.2524  -2.0472  1.2935  -1.0178  1.6046  -1.2114  -1.7216  -2.9055  0.1693
0 | 39  -1.3199  -1.8222  -1.3381  1.1482  -1.0565  1.7699  -0.7365  0.2500  -3.8282  0.8177
0 | 40  5.0058  -1.5638  -3.1410  -5.5390  -1.4087  0.6524  -3.2607  -3.5810  2.1974  -3.5967
0 | 41  8.8838  -6.2131  1.9146  -9.3080  -1.3661  0.7685  -1.6943  -0.3782  3.5006  -2.9526
0 | 42  5.9976  -3.5592  -0.4850  -7.3210  -0.3874  -0.5499  0.5369  -0.1388  2.8187  -2.8951
0 | 43  0.9703  0.7191  -0.5128  3.9620  2.0537  -2.0162  -1.4616  7.9059  0.5162  2.4049
0 | 44  2.1207  -3.0715  1.0813  -1.1693  -3.8274  2.6215  1.7336  -5.6892  0.6823  -2.0886
0 | 45  -2.7885  -1.7307  -0.8499  3.2871  -2.0290  2.3877  0.0400  -4.7403  -3.0786  -0.1983
0 | 46  -6.4089  1.1481  -0.9899  7.9684  -2.8175  1.3945  5.6956  -3.2572  -1.7681  0.5361
0 | 47  3.1710  -2.2895  3.5985  -8.5094  2.1275  2.2659  0.8552  1.2070  -0.3017  -0.5702
0 | 48  -5.7112  1.4198  -1.5757  4.5939  -1.3986  0.4930  3.0376  -0.0183  -1.2764  -0.5237
0 | 49  4.4303  0.0687  -2.7327  -5.2768  2.7583  -2.0743  -0.7216  1.9801  3.3432  0.4879
0 | 50  4.0269  -0.2271  -3.7765  -4.6362  0.9318  -2.2254  0.5052  -3.1865  2.4372  -0.7097
0 | 51  4.3833  -7.0151  0.1499  -5.3652  -2.0319  4.4542  0.6304  3.2966  -2.1216  -4.2744
0 | 52  1.4479  -5.4371  -2.8657  -7.3415  -1.7252  3.7286  -1.9704  -2.7623  -1.9458  -2.7971
0 | 53  -2.9232  -7.5236  -2.5839  6.3346  -7.8023  4.4559  3.8174  -3.9297  -1.3055  -1.6874
0 | 54  1.0039  -4.1864  -0.2433  -0.6026  -3.4567  2.5222  -0.4470  -2.3920  0.4427  -0.7382
0 | 55  1.0502  -3.6852  -5.6042  1.8140  -5.6157  2.3432  -0.8084  1.4407  -1.1523  -1.6944
0 | 56  -0.1486  -4.9913  -0.4207  -4.1237  -1.3191  3.0669  -0.9795  -7.5934  -1.3744  -1.9320
0 | 57  4.6340  -2.2766  -5.1921  -2.9297  -0.3268  -1.2569  -3.0209  6.5558  1.8451  -1.1943
0 | 58  5.0782  -1.8141  -4.9906  -2.0372  -1.3703  -1.3109  -2.9895  6.9068  1.6645  -1.9439
0 | 59  2.3302  -4.0246  -2.5073  2.0695  -2.0816  -0.6177  -2.9083  -3.3079  3.0218  0.0705
0 | 60  -1.3078  0.0053  -0.6577  -3.0199  1.6298  -0.1624  -0.8702  3.1363  -1.1555  0.0869
0 | 61  2.7720  -3.8127  -1.3675  -10.1658  -0.1936  1.9102  2.2261  0.2098  -1.9723  -3.7258
0 | 62  1.9036  -3.6164  0.0805  -2.5804  1.3513  1.7103  0.1813  -0.2885  -3.2025  0.4458
0 | 63  0.3823  -1.1955  1.6274  2.1709  -0.4348  1.5678  -3.6054  -0.0327  0.6079  3.0485
0 | 64  3.5043  -3.0950  1.0061  2.0974  0.4837  -0.8125  -3.7453  -1.6269  1.6892  1.2889
0 | 65  0.7685  -0.8036  1.5389  3.0280  -1.6086  0.1689  -4.4975  -1.4664  2.8537  0.9260
0 | 66  0.4050  0.0853  1.5088  2.3704  -0.8023  0.5149  -6.6586  -2.8153  1.7614  0.8517
0 | 67  4.2407  -1.4880  0.4904  -0.9684  -0.4249  0.4272  0.1927  -0.2993  1.5676  -0.3564
0 | 68  0.3042  -2.7431  -0.4058  4.2882  -1.0943  -1.0747  -0.8731  3.8096  1.4135  0.9215
0 | 69  -0.4027  -1.1104  -0.1200  3.6891  -0.7753  -0.9019  -1.1181  2.5094  0.5277  -0.0711
0 | 70  -0.5781  0.7756  0.9440  -1.1431  1.9138  -0.5388  -2.5011  3.8372  0.3183  -0.6241
0 | 71  1.6969  1.8145  -0.4716  1.3180  2.8150  -2.2854  -3.8278  6.0494  0.6742  2.3179
0 | 72  1.9054  -0.0309  -0.7354  -1.9898  2.2169  -1.9742  0.8669  2.1257  0.0257  2.1903
0 | 73  -3.1168  3.8795  4.1559  1.2869  0.9259  -0.4472  0.4066  -0.1777  0.2119  0.0630
0 | 74  4.1925  3.9638  0.1346  -1.3569  3.3580  -5.9920  -1.4427  -0.1353  5.4689  2.5560
0 | 75  -0.8367  2.0132  -0.5167  2.3467  1.7723  -1.7383  1.1699  0.3807  -1.5051  2.5259
0 | 76  -0.9386  -0.2429  0.7035  -0.2616  -2.8653  0.9794  0.5884  -5.2143  0.6997  -1.2224
0 | 77  -2.1578  -2.4146  0.0666  -0.9891  -3.3857  3.5526  2.7720  -6.5737  -3.1691  -2.1550
0 | 78  -2.5974  -2.1089  2.4476  -1.8653  -2.9619  4.8488  2.0368  -7.4410  -3.6950  -1.5949
0 | 79  0.6645  -1.5505  -0.9275  -2.5249  0.9377  1.7461  1.6057  4.9083  -2.8749  -3.0823
0 | 80  2.1455  1.2344  1.4942  -2.4786  1.6143  -0.2930  0.5699  -3.2046  -0.0375  -0.4118
0 | 81  -1.9809  -0.9026  -0.8811  2.5164  -1.6217  1.4994  0.1951  -1.9886  -0.7251  1.2621
0 | 82  0.0495  -3.1413  -0.3151  0.8623  -1.3641  2.1934  0.4067  1.8555  -0.9244  -0.7127
0 | 83  -0.2198  -1.2579  -2.0956  -5.7612  2.4469  1.7438  2.5156  -0.4988  -3.4085  -0.6967
0 | 84  2.8565  0.2749  0.2513  -3.2134  2.1735  -1.3617  -2.4163  4.4492  0.1480  -0.7413
0 | 85  2.6792  1.0327  0.7978  -4.7680  2.7684  -2.0040  -0.9519  1.5228  2.5265  0.6698
0 | 86  -2.6665  0.5315  0.0905  -3.9185  -1.1951  2.9266  2.5663  1.8478  -2.9490  -4.6968
0 | 87  -0.1138  -5.2245  -1.1049  2.1277  -2.0062  2.8292  1.3170  -3.9370  -3.3591  1.8787
0 | 88  0.6511  -0.3580  -0.9363  0.7395  -4.8172  1.0996  -0.0775  -1.4441  1.9419  -3.8261
0 | 89  0.2495  -4.1091  -4.0228  -0.7650  -5.2976  2.3610  -1.9010  -8.7703  0.3231  -2.4458
0 | 90  -1.4775  5.2345  -1.6652  -3.2175  4.6479  -3.9374  -0.5898  5.2260  -0.0350  -0.6508
0 | 91  1.8557  1.4568  1.7120  -5.0102  2.9244  -0.9713  1.9154  3.3870  0.3422  0.8986
0 | 92  -0.0556  4.8231  0.1361  -3.6177  1.5079  -0.8000  -0.1678  2.2019  1.5177  -2.1987
0 | 93  3.7994  -3.6657  -2.1414  1.2738  1.9553  0.2416  -3.0547  10.1947  -0.8093  3.2303
0 | 94  3.6161  -5.9749  -0.9523  -0.6165  2.0249  1.3231  -3.9103  2.5480  -2.3085  2.0313
0 | 95  1.2096  1.3421  -1.7882  -0.6495  -0.2806  -2.4614  1.2316  -0.0708  2.7645  -3.3682
0 | 96  -1.7343  3.7412  2.4626  -1.2774  2.3976  -2.1369  2.0486  -5.8407  2.0895  1.0425
0 | 97  2.6516  -4.6205  -2.9269  3.3060  -0.3044  -0.7031  -3.0047  -5.4576  -0.2286  4.1837
0 | 98  2.6834  -3.5820  -0.8649  4.0850  -1.2408  0.7232  -4.2354  0.5156  1.5450  4.3358
0 | 99  3.6403  -4.1067  -2.6263  5.2584  -1.4249  -0.8931  -6.5857  -1.2836  0.4184  1.4867
0 | 100  -1.6238  0.7142  1.6452  0.4819  -0.5922  -0.1299  3.9657  -3.3267  -0.2447  -0.4357
1 | 1  1.7115  2.9215  0.4680  2.0793  3.5939  -4.0996  -2.8472  1.9042  1.5152  4.1227
1 | 2  1.5227  2.9812  1.2254  -0.8594  0.8766  -2.4366  -1.4718  2.7929  2.8621  -1.3257
1 | 3  -6.3100  0.3333  0.3188  2.0113  1.5189  1.4878  3.5725  0.0815  -4.2325  0.4201
1 | 4  -1.0025  3.2239  4.3011  -7.3606  0.4326  2.4866  1.4448  -3.7099  -1.0203  -3.0609
1 | 5  -3.4964  2.9965  3.4086  -3.5717  -0.2148  1.2236  3.0313  -4.8043  -0.9012  -3.7617
1 | 6  0.3145  -2.3817  -1.4200  -0.6793  0.3097  1.8622  -0.6930  3.6419  -3.6613  1.4738
1 | 7  0.6978  -0.9937  -0.4395  -8.1964  0.8585  2.0542  3.3889  2.6303  -3.8768  -2.6503
1 | 8  -0.0202  -2.4483  -0.0885  -1.5875  -0.7269  1.3324  -0.5601  -3.2024  -0.2227  0.1703
1 | 9  -1.0937  2.9354  3.0036  4.6264  -0.7839  -0.5855  -1.3811  -1.5096  1.4028  0.4716
1 | 10  -1.6980  3.6270  2.7876  4.9599  -0.7181  -0.5160  -2.8411  -2.9207  0.3030  0.2281
1 | 11  2.6863  -3.5922  -1.6640  0.6648  -2.0066  0.0780  -2.2256  2.5933  1.9085  -1.6775
1 | 12  -0.5683  1.4775  3.8996  2.8086  -3.1886  1.5132  -4.2318  -6.8351  2.3583  -1.3211
1 | 13  2.9970  -2.2761  -5.7967  0.9983  -0.6616  -3.0006  0.7133  3.7345  2.4079  1.7031
1 | 14  -2.4154  4.5503  6.2332  6.8276  0.2648  -0.6291  -0.7547  -4.7424  0.5705  0.5697
1 | 15  3.4188  -3.8588  -2.9587  -5.7362  2.4848  -0.0660  0.8800  5.7761  -1.1014  1.0375
1 | 16  -6.6232  8.7734  4.2391  3.6959  3.5717  -1.7253  -0.7311  -2.3151  0.1164  1.5343
1 | 17  -2.0106  7.6317  4.4267  2.7934  3.3249  -2.6535  2.4641  1.9882  1.2789  -0.2792
1 | 18  -4.6387  7.1952  3.2357  -0.3353  4.3359  -3.5038  2.0758  4.3431  1.7881  -1.0528
1 | 19  -2.4675  6.8529  6.5166  3.3179  5.2821  -4.1294  -2.2151  0.0294  3.3591  3.2975
1 | 20  0.7503  8.7746  0.6867  -3.3997  7.4650  -5.8470  1.7281  8.4253  3.1089  1.4520
1 | 21  -1.0849  5.2693  3.6965  -0.1326  6.1610  -2.3675  -2.0190  6.6291  -0.7603  3.9664
1 | 22  -0.0814  -1.5682  -2.9157  -4.6211  -1.8687  -0.2344  2.9585  -1.8692  1.1304  -2.9548
1 | 23  3.0031  -1.0083  -0.9679  -2.0396  -1.9979  1.1437  2.0664  6.4030  0.5989  -2.9445
1 | 24  -0.2848  -2.3884  -1.1894  -1.2312  -0.1297  0.5550  -1.4085  -3.5419  -0.1341  -0.7875
1 | 25  -0.8427  -0.1196  -0.0904  0.3446  -1.6412  1.1684  -2.9658  -3.7653  0.1061  0.1131
1 | 26  -1.2222  -0.1612  0.3761  0.1295  -1.2226  1.4733  -3.1230  -0.6856  -0.6629  -1.5397
1 | 27  2.4772  -3.1549  -0.8814  -3.1296  -2.2425  2.0396  1.8341  -1.5598  1.1532  -3.4716
1 | 28  0.3695  -1.6652  0.6602  -6.7925  -1.3518  3.8200  4.1147  -5.5500  -1.6301  -3.4437
1 | 29  -1.2057  -1.7814  0.2172  -0.2377  -0.2642  2.1770  1.0330  3.0046  -1.7450  -1.8365
1 | 30  2.2500  0.8442  2.9080  -5.0163  1.0614  0.8486  -2.3584  -2.0547  0.4946  -0.0909
1 | 31  -2.4364  -0.6326  2.6858  0.5624  0.0860  1.4732  -2.6048  -1.5460  -0.9250  -0.1552
1 | 32  2.0046  0.1172  -3.4724  -0.0564  -2.6952  -0.6729  1.3509  -0.2664  2.2543  -1.1956
1 | 33  3.9076  -2.1063  0.1774  -2.7920  0.9298  0.8170  -4.8300  4.8592  -0.1610  1.0317
1 | 34  3.5672  1.6122  -2.9603  -0.0302  1.0109  -2.9241  -2.4427  7.0508  3.7451  1.1038
1 | 35  -0.5637  7.1036  2.3246  1.9473  4.9605  -4.3494  -1.0241  2.5583  2.6981  0.8915
1 | 36  -1.5881  8.1387  4.0161  1.2964  2.8987  -3.3787  -2.4990  4.5815  3.9443  0.7069
1 | 37  0.3714  0.3143  -4.2815  1.7226  0.1291  -2.1884  1.7654  4.4742  -1.2113  1.1267
1 | 38  1.0709  0.0888  1.4741  0.6074  0.5732  -0.0946  -2.1173  0.0473  -0.4628  1.5661
1 | 39  -2.5245  1.9571  1.3096  -1.5837  -2.0315  0.5386  -1.0023  -4.4810  0.6794  -2.0877
1 | 40  -1.4724  0.1142  2.9063  -1.8729  2.1907  0.6737  4.2173  0.1233  -1.0381  -0.1030
1 | 41  -2.8874  2.6500  -0.7526  -1.3064  1.7225  -0.4754  0.8869  0.1441  -2.1763  0.6565
1 | 42  -1.1950  2.8596  -0.1462  -1.0168  0.4548  0.0332  1.2670  -3.5920  -1.3783  -0.0168
1 | 43  1.9587  -3.6489  -0.6454  1.0624  -3.6670  2.5921  -0.6942  -1.3181  -0.1972  -2.6099
1 | 44  4.1719  2.6931  -1.2609  0.0249  1.3179  -3.2699  -1.3824  1.3923  2.9520  1.7350
1 | 45  -0.2425  -1.6998  -0.2254  1.8772  -1.5711  -2.2203  -1.0051  -5.5591  4.0396  -0.6161
1 | 46  2.4786  2.6715  1.8130  2.6325  -1.0495  -1.5179  -0.6760  -5.1614  3.4040  0.6116
1 | 47  1.4387  1.9219  -1.3610  -0.5987  2.9295  -3.0947  -1.6837  7.4140  1.1113  1.2480
1 | 48  2.1024  1.1592  -1.7037  -2.0244  3.8337  -3.4447  -2.6627  5.4223  0.8172  2.1184
1 | 49  -0.9803  -3.1464  -0.5142  5.9803  -6.1574  1.2366  0.4744  -2.4795  0.7281  -1.8584
1 | 50  1.2735  -1.0726  -6.0610  3.7294  -3.1801  0.7214  -0.8016  -1.4968  -1.7830  1.2567
1 | 51  -0.4018  -5.8249  1.0106  3.0167  0.7198  1.9532  0.0427  -1.4101  -0.9367  2.2645
1 | 52  -5.6440  0.3627  -1.9670  -0.1277  0.6941  1.5851  2.0552  2.9779  -2.1878  -1.4935
1 | 53  -0.3757  2.2172  2.6590  0.4777  -0.3374  1.5702  1.6973  -7.4027  -2.2233  0.2432
1 | 54  -3.6454  -2.7818  -2.4506  1.4503  -3.0932  2.7159  0.7029  -0.0717  -1.1289  -1.4658
1 | 55  -2.0174  5.6570  4.2030  -3.3556  3.9386  0.0235  -0.0757  0.7794  -1.5669  0.1349
1 | 56  -2.3002  -3.1087  -1.8337  -1.9923  -2.1754  3.4152  2.9996  -1.9284  -3.9477  -1.8526
1 | 57  1.3982  -3.5468  -0.1523  1.3645  -5.6196  3.9146  -0.3265  -5.9674  -0.3277  -1.6444
1 | 58  -0.4918  -1.8381  -0.2128  -5.7002  0.6662  0.5582  3.5836  1.0264  -1.2523  -4.0511
1 | 59  0.2794  -1.5035  1.4187  -4.5988  1.5589  2.2282  -1.3744  -2.5840  -1.8703  -1.4626
1 | 60  -5.7130  -0.4612  -0.8828  4.9020  -0.8111  2.9149  4.4996  1.9599  -5.5711  0.1158
1 | 61  5.2452  -2.7558  0.1574  0.3454  -3.2383  -0.3399  -3.6787  -3.1112  5.4863  -2.3087
1 | 62  -2.1577  4.1384  2.3886  4.0700  -0.8581  -1.4220  2.9304  -2.9243  1.9195  -2.7769
1 | 63  1.2966  -3.6913  -2.2146  3.5058  -0.7928  0.1368  -0.7507  1.9755  -1.6283  3.9451
1 | 64  1.2164  0.4959  -1.0031  8.6502  -2.2523  -1.7675  -4.7137  -1.8871  3.7323  2.2048
1 | 65  -0.2389  -0.0626  -1.2942  6.1690  -2.7465  -1.9757  -2.8165  0.2506  3.2243  0.9334
1 | 66  -1.4115  1.9777  -1.6504  4.4941  -3.5521  0.0953  0.1697  -2.5622  0.4436  -1.0944
1 | 67  1.6550  3.9161  2.2480  2.7375  4.3941  -3.7918  -1.4854  1.9371  2.1083  4.3814
1 | 68  1.5500  5.9562  0.5816  -5.5106  7.7845  -4.4475  -0.7918  11.5585  0.3383  0.5931
1 | 69  0.5937  3.8043  1.9458  4.9212  5.4592  -4.8568  -2.5201  0.9123  2.4646  5.8901
1 | 70  0.5249  5.8751  1.6511  4.2116  5.6147  -4.5881  -4.1569  2.1910  1.7859  6.9778
1 | 71  -0.4465  5.1579  -1.1349  4.3641  2.6639  -4.6168  2.3812  5.4055  1.2513  3.2578
1 | 72  2.0996  -2.5319  1.2882  -0.8633  -4.1113  3.1734  0.0842  -1.0423  -0.6279  -3.2724
1 | 73  -2.6699  -1.5690  -1.2485  7.1821  -5.5600  1.7233  3.1696  -9.1979  -0.6801  -0.9028
1 | 74  1.6908  -0.9714  -1.1511  -8.7473  4.6255  -1.3633  1.6221  2.2434  0.5167  -1.1443
1 | 75  3.5761  -3.4311  -0.7670  -3.5357  4.2724  -2.1069  -2.2427  8.2940  -0.2169  0.0763
1 | 76  2.6995  1.7756  1.5850  -4.7562  2.6108  -0.5939  -1.2075  3.1254  1.2178  1.9225
1 | 77  0.4778  0.4072  -4.5486  1.9259  0.5293  -3.4478  -0.7837  1.6180  0.6827  1.2265
1 | 78  -1.3913  4.5232  3.9180  -2.5079  2.3036  0.2434  0.3731  -4.4289  0.0786  1.2064
1 | 79  -2.0938  2.2138  1.2895  -1.0391  0.8169  0.4727  -0.2867  1.5766  0.7031  0.8911
1 | 80  -0.4539  2.2315  2.7711  0.5876  0.2914  0.6668  -0.1698  -0.2872  -0.7883  -0.9506
1 | 81  1.4758  -1.6840  -2.2135  -5.3555  2.4921  -0.2686  1.3516  5.4070  -3.2490  -0.9764
1 | 82  -1.6930  8.0642  1.5473  6.4369  1.0215  -5.5941  -4.4275  -0.7094  6.5510  3.2522
1 | 83  -0.6618  -4.7065  1.8401  -4.1346  -1.7626  4.2690  4.1037  -4.0814  -4.3886  -3.2547
1 | 84  -2.6298  -1.4816  2.4023  -11.8983  0.1258  6.3351  5.6802  -6.6660  -4.6360  -3.2409
1 | 85  2.8429  -2.2572  -2.6972  5.1430  -0.9602  -1.2573  -7.2739  3.1098  1.0575  0.8137
1 | 86  3.2238  -4.7806  -2.5520  1.4232  -1.9328  -0.9418  0.9802  -2.5860  -0.7066  1.8472
1 | 87  0.2160  -3.4883  -0.6564  4.1757  -3.0682  0.9366  -4.0064  5.8619  1.5039  0.4976
1 | 88  7.9591  -9.6670  -7.7626  -4.0263  -4.5466  0.8347  -0.9773  -3.5320  4.6568  -1.0243
1 | 89  9.1081  -7.4845  -5.2474  -2.1339  -2.8529  0.0099  -2.3763  -0.4703  2.3970  -1.1078
1 | 90  4.2473  -2.2665  -2.1508  -2.8263  0.3391  -0.2996  -3.6681  1.7728  1.6955  -1.1179
1 | 91  -0.4550  -1.5408  -0.6665  2.5239  -1.6347  -0.1182  1.6051  -2.6868  0.4372  0.3454
1 | 92  -4.4013  2.4016  -2.3822  7.0094  -1.7067  -2.0839  0.6141  -1.2378  0.7448  1.6153
1 | 93  4.2417  0.5194  0.5769  -0.6086  2.4166  -3.4313  -7.0785  3.2115  4.7166  1.6529
1 | 94  -2.6004  2.8175  -0.7732  3.7653  -0.6688  -1.6224  1.3369  -2.5146  -0.4214  1.8679
1 | 95  0.6057  -0.1490  -1.1756  -5.5823  0.6156  -0.5553  0.8629  5.0542  0.7447  -1.0627
1 | 96  1.9303  -0.6076  0.1635  2.8346  -0.1375  -1.5362  -1.5100  1.8832  3.3191  3.2728
1 | 97  -3.3739  3.7173  1.6209  -5.0882  1.1881  1.1130  1.4452  1.5341  -1.0010  -1.7598
1 | 98  0.8924  -0.4093  0.4570  -3.5383  1.7004  -0.4202  0.0456  6.0734  -1.6559  -2.7470
1 | 99  -3.1545  -4.4770  -0.2450  -1.7116  -3.7556  5.3908  5.7183  -5.6876  -3.3499  -1.4973
1 | 100  -2.0580  -2.2014  -0.4499  2.2085  -2.1456  3.0830  -3.1701  0.4990  -0.8277  -0.4670

Basic Statistics:
--------------------

Chain 0
Step    depth       maxdepth_reached  logp        energy      diverging    step_size    step_size_bar   n_steps   
--------------------------------------------------------------------------------------------------------------------------
1       3.0000      0.0000            -8.8010     10.9665     0.0000       0.3583       0.3583          15.0000   
2       3.0000      0.0000            -4.7705     12.4916     0.0000       0.3583       0.3583          15.0000   
3       3.0000      0.0000            -3.8488     7.5103      0.0000       0.3583       0.3583          15.0000   
4       3.0000      0.0000            -2.1528     6.9997      0.0000       0.3583       0.3583          7.0000    
5       4.0000      0.0000            -4.1671     7.2875      0.0000       0.3583       0.3583          15.0000   
6       4.0000      0.0000            -8.2495     12.4370     0.0000       0.3583       0.3583          31.0000   
7       3.0000      0.0000            -5.4693     14.0275     0.0000       0.3583       0.3583          23.0000   
8       4.0000      0.0000            -7.8411     11.8286     0.0000       0.3583       0.3583          15.0000   
9       4.0000      0.0000            -6.4003     12.5870     0.0000       0.3583       0.3583          31.0000   
10      4.0000      0.0000            -5.6635     11.9688     0.0000       0.3583       0.3583          31.0000   
11      4.0000      0.0000            -5.7270     10.4892     0.0000       0.3583       0.3583          15.0000   
12      4.0000      0.0000            -4.0347     8.8721      0.0000       0.3583       0.3583          31.0000   
13      4.0000      0.0000            -5.8477     8.4062      0.0000       0.3583       0.3583          15.0000   
14      4.0000      0.0000            -5.6204     9.2917      0.0000       0.3583       0.3583          31.0000   
15      4.0000      0.0000            -4.3211     11.9142     0.0000       0.3583       0.3583          15.0000   
16      3.0000      0.0000            -1.3449     6.0025      0.0000       0.3583       0.3583          15.0000   
17      3.0000      0.0000            -3.4030     5.2521      0.0000       0.3583       0.3583          7.0000    
18      3.0000      0.0000            -2.1859     7.7615      0.0000       0.3583       0.3583          15.0000   
19      4.0000      0.0000            -3.4761     6.5206      0.0000       0.3583       0.3583          7.0000    
20      5.0000      0.0000            -4.9424     10.7039     0.0000       0.3583       0.3583          23.0000   
21      3.0000      0.0000            -2.5766     9.4605      0.0000       0.3583       0.3583          31.0000   
22      4.0000      0.0000            -3.4829     7.3401      0.0000       0.3583       0.3583          15.0000   
23      3.0000      0.0000            -4.7213     7.8470      0.0000       0.3583       0.3583          15.0000   
24      4.0000      0.0000            -4.5220     10.8137     0.0000       0.3583       0.3583          15.0000   
25      4.0000      0.0000            -4.3680     8.0880      0.0000       0.3583       0.3583          15.0000   
26      4.0000      0.0000            -2.2815     9.0431      0.0000       0.3583       0.3583          15.0000   
27      5.0000      0.0000            -4.2066     6.0483      0.0000       0.3583       0.3583          31.0000   
28      4.0000      0.0000            -5.5600     8.4560      0.0000       0.3583       0.3583          31.0000   
29      4.0000      0.0000            -6.1840     9.9257      0.0000       0.3583       0.3583          15.0000   
30      4.0000      0.0000            -5.6491     11.7009     0.0000       0.3583       0.3583          31.0000   
31      4.0000      0.0000            -5.4957     11.1553     0.0000       0.3583       0.3583          31.0000   
32      4.0000      0.0000            -4.8070     9.9038      0.0000       0.3583       0.3583          15.0000   
33      4.0000      0.0000            -5.0079     10.2578     0.0000       0.3583       0.3583          31.0000   
34      4.0000      0.0000            -4.5436     11.4002     0.0000       0.3583       0.3583          23.0000   
35      4.0000      0.0000            -3.6075     9.0182      0.0000       0.3583       0.3583          15.0000   
36      5.0000      0.0000            -3.2431     6.8760      0.0000       0.3583       0.3583          15.0000   
37      4.0000      0.0000            -3.1046     8.4698      0.0000       0.3583       0.3583          31.0000   
